Front Right,Rear Left,Rear Right,Front Left,Time
2.3029725551605225,2.4147937297821045,2.6491761207580566,2.785003900527954,15195.0
2.3096060752868652,2.420795440673828,2.662442922592163,2.798586845397949,15195.0
2.3130807876586914,2.4261655807495117,2.66528582572937,2.802377462387085,15195.0
2.31466007232666,2.430271863937378,2.667496919631958,2.805851936340332,15196.0
2.308974266052246,2.4255337715148926,2.660231828689575,2.7998502254486084,15196.0
2.3137125968933105,2.431851387023926,2.6665494441986084,2.8049044609069824,15196.0
2.310553789138794,2.4255337715148926,2.663390636444092,2.800797939300537,15196.0
2.311817169189453,2.4290084838867188,2.664654016494751,2.801745653152466,15196.0
2.3096060752868652,2.4261655807495117,2.663390636444092,2.7935328483581543,15197.0
2.307710886001587,2.424586057662964,2.6608636379241943,2.798902750015259,15197.0
2.311185598373413,2.4255337715148926,2.666865348815918,2.8039567470550537,15197.0
2.3115015029907227,2.4283766746520996,2.664022445678711,2.8014297485351562,15197.0
2.3130807876586914,2.4305877685546875,2.664654016494751,2.801745653152466,15197.0
2.3137125968933105,2.4290084838867188,2.668128728866577,2.8049044609069824,15198.0
2.3130807876586914,2.428692579269409,2.6659176349639893,2.803009033203125,15198.0
2.3149759769439697,2.431535482406616,2.6678128242492676,2.805220365524292,15198.0
2.3159236907958984,2.432482957839966,2.6722352504730225,2.805851936340332,15198.0
2.315607786178589,2.430903673171997,2.66528582572937,2.797323226928711,15198.0
2.313396692276001,2.42806077003479,2.6643383502960205,2.7992186546325684,15199.0
2.286862850189209,2.400895118713379,2.637488603591919,2.775211811065674,15199.0
2.3102378845214844,2.4242701530456543,2.6627588272094727,2.7998502254486084,15199.0
2.313396692276001,2.4283766746520996,2.6643383502960205,2.7998502254486084,15199.0
2.309921979904175,2.4267971515655518,2.6637065410614014,2.8004820346832275,15199.0
2.3143444061279297,2.429324150085449,2.666233539581299,2.8042726516723633,15200.0
2.3159236907958984,2.4290084838867188,2.6656017303466797,2.803009033203125,15200.0
2.319082498550415,2.4312195777893066,2.6671812534332275,2.8049044609069824,15200.0
2.3143444061279297,2.4290084838867188,2.6687605381011963,2.798902750015259,15200.0
2.3149759769439697,2.429324150085449,2.6693923473358154,2.804588556289673,15200.0
2.2957074642181396,2.408792018890381,2.648860216140747,2.785003900527954,15201.0
2.311185598373413,2.4267971515655518,2.6627588272094727,2.8020615577697754,15201.0
2.31466007232666,2.430903673171997,2.6656017303466797,2.800797939300537,15201.0
2.3121330738067627,2.4277448654174805,2.660231828689575,2.7963757514953613,15201.0
2.297602653503418,2.4125826358795166,2.6485443115234375,2.783108711242676,15201.0
2.3108696937561035,2.429324150085449,2.666233539581299,2.8067996501922607,15202.0
2.3143444061279297,2.429640054702759,2.666865348815918,2.8042726516723633,15202.0
2.313396692276001,2.429324150085449,2.6656017303466797,2.7982709407806396,15202.0
2.3058154582977295,2.4226908683776855,2.6564412117004395,2.7960598468780518,15202.0
2.3096060752868652,2.4267971515655518,2.668128728866577,2.8020615577697754,15202.0
2.308342695236206,2.4277448654174805,2.6637065410614014,2.8014297485351562,15203.0
2.3096060752868652,2.4271130561828613,2.6621270179748535,2.8011138439178467,15203.0
2.3073949813842773,2.4249019622802734,2.6621270179748535,2.800166130065918,15203.0
2.3121330738067627,2.4271130561828613,2.66528582572937,2.8011138439178467,15203.0
2.3096060752868652,2.4267971515655518,2.662442922592163,2.8014297485351562,15203.0
2.3130807876586914,2.431851387023926,2.66528582572937,2.803640842437744,15204.0
2.31402850151062,2.42806077003479,2.664022445678711,2.7982709407806396,15204.0
2.316871404647827,2.431535482406616,2.6678128242492676,2.8039567470550537,15204.0
2.3058154582977295,2.4242701530456543,2.6627588272094727,2.800166130065918,15204.0
2.3152918815612793,2.4321670532226562,2.6678128242492676,2.8055360317230225,15204.0
2.3102378845214844,2.4267971515655518,2.6614952087402344,2.803009033203125,15205.0
2.309921979904175,2.4255337715148926,2.660231828689575,2.796691656112671,15205.0
2.311817169189453,2.4261655807495117,2.664654016494751,2.803009033203125,15205.0
2.312764883041382,2.426481246948242,2.662442922592163,2.7992186546325684,15205.0
2.3086583614349365,2.4242701530456543,2.6599159240722656,2.7982709407806396,15205.0
2.3152918815612793,2.4305877685546875,2.6627588272094727,2.796691656112671,15206.0
2.3137125968933105,2.4283766746520996,2.6656017303466797,2.801745653152466,15206.0
2.303288459777832,2.4204795360565186,2.659600019454956,2.79795503616333,15206.0
2.3064472675323486,2.425217866897583,2.6577048301696777,2.795743942260742,15206.0
2.3102378845214844,2.424586057662964,2.663390636444092,2.7976391315460205,15206.0
2.306131362915039,2.4239542484283447,2.6580207347869873,2.792901039123535,15207.0
2.3042361736297607,2.4198479652404785,2.65612530708313,2.7941644191741943,15207.0
2.3096060752868652,2.4267971515655518,2.662442922592163,2.800166130065918,15207.0
2.3124489784240723,2.4299559593200684,2.6630747318267822,2.800166130065918,15207.0
2.3115015029907227,2.42806077003479,2.6599159240722656,2.7963757514953613,15207.0
2.3086583614349365,2.4220590591430664,2.658968210220337,2.797323226928711,15208.0
2.306763172149658,2.4271130561828613,2.664022445678711,2.804588556289673,15208.0
2.3149759769439697,2.430903673171997,2.66528582572937,2.801745653152466,15208.0
2.3045520782470703,2.4198479652404785,2.6542301177978516,2.792269229888916,15208.0
2.3137125968933105,2.429640054702759,2.6637065410614014,2.803640842437744,15208.0
2.3115015029907227,2.4277448654174805,2.6656017303466797,2.8026931285858154,15209.0
2.312764883041382,2.42806077003479,2.6608636379241943,2.8020615577697754,15209.0
